SNo,Year,State_UT,City,Road_Classification,Mode_of_Transport,Total_Accidents,Persons_Injured,Persons_Killed,Accident_Cause,Time_of_Accident,Road_Condition,Light_Condition,Weather_Condition,Injury_Severity,Junction_Type,Source
282,2019,Sikkim,Sikkim,Expressway,Car/Jeep/Taxi,11674,12180,2405,Fatigue/Sleep,21:00-24:00,Potholed,Daylight,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
283,2021,Puducherry,Puducherry,Expressway,Pedestrian,10132,13839,3423,Vehicle Defect,15:00-18:00,Dry,Dark - No Street Light,Clear,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
284,2019,Jharkhand,Jharkhand,Expressway,Others,222,458,24,Tyre Burst,21:00-24:00,Wet,Dark - Street Light On,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
285,2022,Assam,Guwahati,Expressway,Pedestrian,2631,2849,632,Poor Weather Visibility,09:00-12:00,Dry,Dark - No Street Light,Foggy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
286,2019,Maharashtra,Nashik,City Roads,Others,1609,3535,165,Poor Weather Visibility,00:00-06:00,Potholed,Daylight,Misty,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
287,2022,Chhattisgarh,Bilaspur,State Highway,Bus,6427,8932,944,Fatigue/Sleep,21:00-24:00,Potholed,Daylight,Cloudy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
288,2019,Sikkim,Sikkim,State Highway,Auto-Rickshaw,4063,7409,1363,Jumping Red Light,00:00-06:00,Dry,Daylight,Cloudy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
289,2020,Sikkim,Sikkim,National Highway,Truck/Lorry,8267,16396,572,Vehicle Defect,21:00-24:00,Potholed,Dusk/Dawn,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
290,2020,Punjab,Ludhiana,City Roads,Car/Jeep/Taxi,707,1173,240,Vehicle Defect,12:00-15:00,Dry,Dusk/Dawn,Clear,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
291,2021,Chhattisgarh,Raipur,National Highway,Bus,479,390,166,Drunk Driving,00:00-06:00,Potholed,Dark - No Street Light,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
292,2020,Nagaland,Nagaland,City Roads,Pedestrian,8110,15032,1779,Jumping Red Light,09:00-12:00,Wet,Daylight,Rainy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
293,2022,Jammu & Kashmir,Jammu,City Roads,Auto-Rickshaw,7914,15537,2301,Improper Lane Changing,15:00-18:00,Dry,Dark - No Street Light,Foggy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
294,2021,Uttarakhand,Uttarakhand,Expressway,Car/Jeep/Taxi,9429,14812,2392,Bad Road Condition,09:00-12:00,Dry,Daylight,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
295,2022,Uttar Pradesh,Agra,City Roads,Bicycle,10624,15680,1529,Use of Mobile Phone,09:00-12:00,Flooded,Daylight,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
296,2022,Manipur,Manipur,State Highway,Two-Wheeler,2022,2813,614,Use of Mobile Phone,15:00-18:00,Potholed,Dark - Street Light On,Rainy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
297,2020,Rajasthan,Kota,Expressway,Truck/Lorry,10820,9954,2459,Jumping Red Light,15:00-18:00,Dry,Dark - No Street Light,Foggy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
298,2020,Gujarat,Surat,Expressway,Car/Jeep/Taxi,3720,8286,880,Poor Weather Visibility,18:00-21:00,Flooded,Dark - Street Light On,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
299,2022,Bihar,Patna,State Highway,Car/Jeep/Taxi,5419,7502,1602,Bad Road Condition,21:00-24:00,Flooded,Daylight,Misty,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
300,2020,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Expressway,Bus,6183,9789,1714,Jumping Red Light,06:00-09:00,Potholed,Dusk/Dawn,Clear,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
301,2019,Mizoram,Mizoram,Other Roads,Bus,5969,14670,904,Fatigue/Sleep,21:00-24:00,Flooded,Daylight,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
302,2021,Chandigarh,Chandigarh,National Highway,Car/Jeep/Taxi,5279,6450,1620,Bad Road Condition,00:00-06:00,Potholed,Daylight,Misty,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
303,2019,Ladakh,Ladakh,City Roads,Truck/Lorry,8074,6781,2134,Poor Weather Visibility,15:00-18:00,Dry,Daylight,Rainy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
304,2020,Karnataka,Hubli,National Highway,Others,10925,23482,2611,Improper Lane Changing,15:00-18:00,Under Repair,Dark - No Street Light,Cloudy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
305,2020,Haryana,Gurgaon,National Highway,Others,7395,11427,2085,Use of Mobile Phone,06:00-09:00,Under Repair,Dusk/Dawn,Cloudy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
306,2020,Meghalaya,Meghalaya,State Highway,Pedestrian,9210,11161,856,Drunk Driving,00:00-06:00,Dry,Dusk/Dawn,Rainy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
307,2022,Madhya Pradesh,Bhopal,City Roads,Bicycle,8364,13591,2458,Wrong Side Driving,00:00-06:00,Potholed,Daylight,Rainy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
308,2021,Daman & Diu,Daman & Diu,State Highway,Bus,10124,17575,1960,Poor Weather Visibility,21:00-24:00,Wet,Dusk/Dawn,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
309,2020,Tripura,Tripura,Expressway,Two-Wheeler,4855,6107,912,Tyre Burst,21:00-24:00,Wet,Dark - Street Light On,Clear,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
310,2023,Daman & Diu,Daman & Diu,Expressway,Auto-Rickshaw,6878,15147,1335,Improper Lane Changing,09:00-12:00,Wet,Dusk/Dawn,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
311,2021,Punjab,Jalandhar,National Highway,Bus,6892,14747,703,Over Speeding,12:00-15:00,Wet,Dark - Street Light On,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
312,2022,Gujarat,Vadodara,Expressway,Bus,5745,4826,1670,Improper Lane Changing,06:00-09:00,Potholed,Dusk/Dawn,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
313,2023,Tripura,Tripura,Other Roads,Truck/Lorry,10497,8757,1679,Tyre Burst,18:00-21:00,Dry,Dusk/Dawn,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
314,2020,Tamil Nadu,Coimbatore,National Highway,Bus,5065,11696,1698,Wrong Side Driving,18:00-21:00,Dry,Dusk/Dawn,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
315,2023,Maharashtra,Nashik,National Highway,Car/Jeep/Taxi,8386,18770,1380,Vehicle Defect,21:00-24:00,Flooded,Dark - No Street Light,Clear,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
316,2019,Chandigarh,Chandigarh,City Roads,Auto-Rickshaw,3693,3067,544,Drunk Driving,15:00-18:00,Under Repair,Dark - No Street Light,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
317,2023,Meghalaya,Meghalaya,Other Roads,Others,8104,10196,1802,Tyre Burst,15:00-18:00,Wet,Dark - No Street Light,Rainy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
318,2021,Lakshadweep,Lakshadweep,State Highway,Two-Wheeler,352,449,27,Poor Weather Visibility,18:00-21:00,Wet,Dusk/Dawn,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
319,2023,Sikkim,Sikkim,National Highway,Others,5126,12812,440,Jumping Red Light,15:00-18:00,Dry,Dark - Street Light On,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
320,2022,Jammu & Kashmir,Jammu,Expressway,Others,4067,8067,931,Tyre Burst,12:00-15:00,Wet,Dark - No Street Light,Foggy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
321,2020,Haryana,Gurgaon,State Highway,Car/Jeep/Taxi,4055,8942,512,Wrong Side Driving,06:00-09:00,Dry,Dark - No Street Light,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
322,2021,Madhya Pradesh,Bhopal,Other Roads,Bicycle,3693,3198,584,Fatigue/Sleep,09:00-12:00,Under Repair,Dark - Street Light On,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
323,2020,Lakshadweep,Lakshadweep,Other Roads,Bicycle,9498,9650,1977,Improper Lane Changing,21:00-24:00,Under Repair,Dark - No Street Light,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
324,2019,Uttarakhand,Uttarakhand,Expressway,Car/Jeep/Taxi,3306,6815,595,Vehicle Defect,21:00-24:00,Wet,Daylight,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
325,2021,Mizoram,Mizoram,Other Roads,Others,2753,6370,545,Over Speeding,00:00-06:00,Dry,Dark - No Street Light,Cloudy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
326,2021,Mizoram,Mizoram,State Highway,Others,137,272,35,Wrong Side Driving,15:00-18:00,Dry,Dark - No Street Light,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
327,2019,Sikkim,Sikkim,Other Roads,Auto-Rickshaw,7971,12789,1204,Poor Weather Visibility,09:00-12:00,Under Repair,Dark - Street Light On,Foggy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
328,2023,Uttar Pradesh,Kanpur,City Roads,Bicycle,2992,7004,479,Vehicle Defect,09:00-12:00,Dry,Daylight,Rainy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
329,2021,Madhya Pradesh,Jabalpur,National Highway,Truck/Lorry,5525,5366,1630,Use of Mobile Phone,18:00-21:00,Dry,Dark - Street Light On,Misty,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
330,2022,Kerala,Thiruvananthapuram,National Highway,Truck/Lorry,1468,1818,230,Wrong Side Driving,21:00-24:00,Dry,Dark - Street Light On,Cloudy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
331,2020,Arunachal Pradesh,Arunachal Pradesh,City Roads,Bus,11261,17275,2887,Jumping Red Light,12:00-15:00,Flooded,Daylight,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
332,2019,Goa,Goa,City Roads,Car/Jeep/Taxi,3774,4375,1171,Fatigue/Sleep,12:00-15:00,Under Repair,Daylight,Clear,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
333,2023,Chandigarh,Chandigarh,National Highway,Car/Jeep/Taxi,3347,3728,730,Vehicle Defect,15:00-18:00,Potholed,Dark - Street Light On,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
334,2023,Tripura,Tripura,Other Roads,Car/Jeep/Taxi,1424,1612,279,Bad Road Condition,09:00-12:00,Wet,Daylight,Clear,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
335,2019,Tamil Nadu,Salem,City Roads,Two-Wheeler,2076,2209,415,Wrong Side Driving,06:00-09:00,Dry,Dark - Street Light On,Cloudy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
336,2023,Meghalaya,Meghalaya,State Highway,Bicycle,8691,13930,1405,Bad Road Condition,09:00-12:00,Under Repair,Daylight,Foggy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
337,2022,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Expressway,Two-Wheeler,4314,8356,785,Jumping Red Light,09:00-12:00,Under Repair,Dark - No Street Light,Rainy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
338,2019,Dadra & Nagar Haveli,Dadra & Nagar Haveli,State Highway,Bus,6323,5814,1107,Improper Lane Changing,18:00-21:00,Potholed,Daylight,Misty,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
339,2019,Sikkim,Sikkim,National Highway,Car/Jeep/Taxi,3382,5806,1088,Wrong Side Driving,06:00-09:00,Wet,Dark - No Street Light,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
340,2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,City Roads,Bus,5391,5175,866,Improper Lane Changing,15:00-18:00,Dry,Dark - Street Light On,Clear,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
341,2020,Uttarakhand,Uttarakhand,Other Roads,Car/Jeep/Taxi,8266,7072,1408,Vehicle Defect,15:00-18:00,Wet,Dark - Street Light On,Cloudy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
342,2021,Chhattisgarh,Durg,Other Roads,Bus,9191,9382,2468,Drunk Driving,21:00-24:00,Potholed,Dark - No Street Light,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
343,2023,Kerala,Thrissur,Expressway,Truck/Lorry,8568,19446,2561,Improper Lane Changing,15:00-18:00,Potholed,Daylight,Foggy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
344,2019,Manipur,Manipur,Expressway,Auto-Rickshaw,7315,6085,1457,Wrong Side Driving,18:00-21:00,Dry,Daylight,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
345,2023,Haryana,Faridabad,National Highway,Car/Jeep/Taxi,7144,15353,2312,Improper Lane Changing,09:00-12:00,Dry,Daylight,Clear,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
346,2019,Meghalaya,Meghalaya,City Roads,Others,50,53,7,Wrong Side Driving,21:00-24:00,Flooded,Daylight,Foggy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
347,2023,Madhya Pradesh,Gwalior,State Highway,Others,6686,5498,1000,Wrong Side Driving,18:00-21:00,Potholed,Dusk/Dawn,Cloudy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
348,2020,Ladakh,Ladakh,National Highway,Truck/Lorry,9268,14503,473,Improper Lane Changing,15:00-18:00,Wet,Dark - No Street Light,Misty,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
349,2021,Rajasthan,Jodhpur,National Highway,Others,3913,7651,210,Poor Weather Visibility,00:00-06:00,Flooded,Dark - No Street Light,Cloudy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
350,2022,Manipur,Manipur,Other Roads,Truck/Lorry,1218,2634,265,Tyre Burst,09:00-12:00,Flooded,Daylight,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
351,2020,Chhattisgarh,Bilaspur,State Highway,Two-Wheeler,8737,17971,2656,Poor Weather Visibility,21:00-24:00,Wet,Dusk/Dawn,Misty,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
352,2023,Madhya Pradesh,Gwalior,City Roads,Car/Jeep/Taxi,7785,17743,1001,Drunk Driving,18:00-21:00,Flooded,Daylight,Cloudy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
353,2023,Tripura,Tripura,National Highway,Pedestrian,929,2249,314,Use of Mobile Phone,06:00-09:00,Dry,Dark - Street Light On,Misty,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
354,2020,Himachal Pradesh,Himachal Pradesh,Expressway,Car/Jeep/Taxi,5930,8654,355,Poor Weather Visibility,12:00-15:00,Potholed,Daylight,Clear,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
355,2021,Tamil Nadu,Coimbatore,City Roads,Pedestrian,386,618,36,Improper Lane Changing,18:00-21:00,Potholed,Dark - No Street Light,Cloudy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
356,2021,Uttar Pradesh,Varanasi,State Highway,Truck/Lorry,3964,3188,1252,Use of Mobile Phone,15:00-18:00,Dry,Dark - Street Light On,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
357,2023,Chandigarh,Chandigarh,Expressway,Others,5665,10720,565,Fatigue/Sleep,21:00-24:00,Dry,Daylight,Foggy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
358,2021,Chandigarh,Chandigarh,Expressway,Bus,169,369,45,Tyre Burst,12:00-15:00,Wet,Daylight,Cloudy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
359,2019,Maharashtra,Aurangabad,Other Roads,Auto-Rickshaw,5500,8724,1618,Over Speeding,21:00-24:00,Potholed,Dark - Street Light On,Misty,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
360,2019,Himachal Pradesh,Himachal Pradesh,Other Roads,Two-Wheeler,6285,12024,1392,Tyre Burst,00:00-06:00,Wet,Dark - Street Light On,Cloudy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
361,2021,Puducherry,Puducherry,National Highway,Pedestrian,4668,11257,1362,Jumping Red Light,15:00-18:00,Potholed,Dusk/Dawn,Cloudy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
362,2023,Jammu & Kashmir,Srinagar,National Highway,Auto-Rickshaw,3226,8022,501,Drunk Driving,00:00-06:00,Potholed,Dark - No Street Light,Clear,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
363,2022,Tripura,Tripura,State Highway,Truck/Lorry,9099,17786,1829,Tyre Burst,06:00-09:00,Flooded,Dusk/Dawn,Rainy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
364,2022,Assam,Dibrugarh,National Highway,Bus,5626,6149,1056,Poor Weather Visibility,15:00-18:00,Potholed,Dark - No Street Light,Cloudy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
365,2022,Jharkhand,Jharkhand,State Highway,Bus,1786,3366,397,Vehicle Defect,09:00-12:00,Flooded,Dark - No Street Light,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
366,2022,West Bengal,Howrah,State Highway,Others,558,1353,97,Bad Road Condition,12:00-15:00,Potholed,Daylight,Misty,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
367,2020,Madhya Pradesh,Indore,National Highway,Others,2652,4552,286,Poor Weather Visibility,06:00-09:00,Dry,Daylight,Foggy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
368,2019,Chhattisgarh,Bilaspur,National Highway,Two-Wheeler,1363,2775,100,Fatigue/Sleep,21:00-24:00,Wet,Dark - Street Light On,Foggy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
369,2019,Tamil Nadu,Chennai,Other Roads,Two-Wheeler,2970,4118,808,Vehicle Defect,15:00-18:00,Potholed,Dark - No Street Light,Cloudy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
370,2021,Telangana,Hyderabad,City Roads,Two-Wheeler,5495,9365,1069,Over Speeding,06:00-09:00,Dry,Daylight,Foggy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
371,2023,Arunachal Pradesh,Arunachal Pradesh,Other Roads,Truck/Lorry,3389,7110,322,Fatigue/Sleep,09:00-12:00,Potholed,Daylight,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
372,2020,Kerala,Kozhikode,City Roads,Auto-Rickshaw,10599,20530,1609,Use of Mobile Phone,06:00-09:00,Dry,Dusk/Dawn,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
373,2020,Rajasthan,Jaipur,State Highway,Bicycle,1040,1479,165,Drunk Driving,09:00-12:00,Wet,Daylight,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
374,2023,Chandigarh,Chandigarh,Expressway,Two-Wheeler,5130,4691,1217,Vehicle Defect,15:00-18:00,Wet,Dusk/Dawn,Rainy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
375,2021,Mizoram,Mizoram,State Highway,Auto-Rickshaw,5970,6317,429,Use of Mobile Phone,06:00-09:00,Flooded,Dusk/Dawn,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
376,2019,Meghalaya,Meghalaya,National Highway,Auto-Rickshaw,4538,4039,380,Jumping Red Light,18:00-21:00,Flooded,Dark - No Street Light,Rainy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
377,2021,Karnataka,Bengaluru,Other Roads,Others,8132,17356,613,Wrong Side Driving,15:00-18:00,Flooded,Dusk/Dawn,Cloudy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
378,2023,Daman & Diu,Daman & Diu,Expressway,Bus,205,374,54,Drunk Driving,00:00-06:00,Dry,Dark - No Street Light,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
379,2019,Maharashtra,Pune,State Highway,Others,9433,23502,1473,Jumping Red Light,15:00-18:00,Potholed,Dark - No Street Light,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
380,2023,Uttarakhand,Uttarakhand,National Highway,Others,1839,4394,350,Poor Weather Visibility,15:00-18:00,Dry,Dusk/Dawn,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
381,2022,Karnataka,Hubli,State Highway,Others,1750,2068,392,Poor Weather Visibility,21:00-24:00,Dry,Dark - Street Light On,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
382,2021,Himachal Pradesh,Himachal Pradesh,National Highway,Bicycle,3384,3869,464,Poor Weather Visibility,12:00-15:00,Under Repair,Dark - No Street Light,Foggy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
383,2023,Maharashtra,Nashik,Expressway,Pedestrian,10567,24803,3647,Fatigue/Sleep,21:00-24:00,Wet,Dark - Street Light On,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
384,2023,Rajasthan,Udaipur,Other Roads,Bus,820,786,46,Fatigue/Sleep,06:00-09:00,Dry,Dark - No Street Light,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
385,2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,State Highway,Two-Wheeler,5441,8176,1174,Use of Mobile Phone,00:00-06:00,Dry,Daylight,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
386,2021,Tripura,Tripura,Other Roads,Auto-Rickshaw,6377,13370,782,Use of Mobile Phone,06:00-09:00,Under Repair,Dark - No Street Light,Cloudy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
387,2021,Goa,Goa,State Highway,Two-Wheeler,503,678,132,Wrong Side Driving,21:00-24:00,Flooded,Dusk/Dawn,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
388,2020,Assam,Guwahati,Expressway,Bicycle,9794,16557,528,Poor Weather Visibility,09:00-12:00,Flooded,Dark - No Street Light,Foggy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
389,2022,Rajasthan,Jodhpur,City Roads,Others,5025,7596,1618,Use of Mobile Phone,09:00-12:00,Dry,Dark - Street Light On,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
390,2019,Mizoram,Mizoram,Expressway,Car/Jeep/Taxi,6175,9585,375,Jumping Red Light,15:00-18:00,Under Repair,Dusk/Dawn,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
391,2023,Bihar,Bhagalpur,City Roads,Two-Wheeler,5438,12803,287,Vehicle Defect,15:00-18:00,Wet,Daylight,Cloudy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
392,2020,Tamil Nadu,Coimbatore,Expressway,Bus,7892,8201,1657,Vehicle Defect,06:00-09:00,Potholed,Daylight,Foggy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
393,2021,Assam,Silchar,Expressway,Others,2684,5745,167,Jumping Red Light,09:00-12:00,Under Repair,Dark - Street Light On,Foggy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
394,2020,Uttar Pradesh,Agra,Expressway,Pedestrian,10710,26212,3345,Drunk Driving,00:00-06:00,Under Repair,Dark - Street Light On,Cloudy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
395,2021,Lakshadweep,Lakshadweep,National Highway,Two-Wheeler,4817,11841,931,Drunk Driving,18:00-21:00,Wet,Dark - Street Light On,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
396,2021,Delhi,North Delhi,Expressway,Car/Jeep/Taxi,11330,23090,986,Vehicle Defect,06:00-09:00,Dry,Daylight,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
397,2021,Kerala,Thrissur,City Roads,Others,110,223,23,Improper Lane Changing,15:00-18:00,Under Repair,Dark - No Street Light,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
398,2020,Nagaland,Nagaland,State Highway,Pedestrian,83,146,8,Vehicle Defect,09:00-12:00,Under Repair,Dusk/Dawn,Foggy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
399,2020,Chhattisgarh,Durg,Expressway,Bus,10451,22375,2777,Improper Lane Changing,18:00-21:00,Flooded,Dusk/Dawn,Clear,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
400,2023,Kerala,Kochi,Expressway,Others,7952,8215,2364,Bad Road Condition,21:00-24:00,Potholed,Daylight,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
401,2022,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Other Roads,Bus,11507,16345,3501,Fatigue/Sleep,12:00-15:00,Wet,Dusk/Dawn,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
402,2022,Kerala,Thrissur,Other Roads,Bus,5285,5364,1027,Use of Mobile Phone,18:00-21:00,Potholed,Daylight,Foggy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
403,2019,Maharashtra,Pune,Other Roads,Truck/Lorry,5052,6620,1086,Over Speeding,00:00-06:00,Under Repair,Dark - Street Light On,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
404,2020,Tamil Nadu,Chennai,City Roads,Car/Jeep/Taxi,8773,13171,2100,Over Speeding,12:00-15:00,Potholed,Daylight,Misty,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
405,2020,West Bengal,Asansol,State Highway,Two-Wheeler,2840,6639,696,Poor Weather Visibility,06:00-09:00,Under Repair,Dark - No Street Light,Foggy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
406,2021,Uttarakhand,Uttarakhand,National Highway,Truck/Lorry,10306,14587,952,Tyre Burst,09:00-12:00,Dry,Dark - Street Light On,Cloudy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
